mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__n_estimators,param_rf__min_samples_split,param_rf__min_samples_leaf,param_rf__max_samples,param_rf__max_features,param_rf__max_depth,param_rf__criterion,param_balance__k_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
574.096363401413,37.16873155268304,4.411520481109619,1.9166694663348591,450,15,3,0.8,0.6,25,entropy,6,"{'rf__n_estimators': 450, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 3, 'rf__max_samples': 0.8, 'rf__max_features': 0.6, 'rf__max_depth': 25, 'rf__criterion': 'entropy', 'balance__k_neighbors': 6}",0.7995051981126712,0.8129452865188778,0.8049618602946047,0.7973501575194354,0.8124344519857317,0.8054393908862643,0.006421023669729338,15,0.9098367161630021,0.9103610276250939,0.910919886080365,0.909374507696754,0.9119492418470407,0.9104882758824511,0.0008946407850207324
409.08929538726807,4.161239080275382,3.7826545238494873,1.4181306711964614,350,15,4,0.8,0.5,20,entropy,6,"{'rf__n_estimators': 350, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 4, 'rf__max_samples': 0.8, 'rf__max_features': 0.5, 'rf__max_depth': 20, 'rf__criterion': 'entropy', 'balance__k_neighbors': 6}",0.7965312899767207,0.807833836966144,0.8010979047312325,0.7904772455293475,0.8078430292512555,0.80075666129094,0.006692378121937385,24,0.8973911091192508,0.8973890031472791,0.8987919315042443,0.8968371611571584,0.89952735817311,0.8979873126202085,0.0010055280285965551
511.0870859146118,9.413562766632886,4.280324792861938,2.164798348867058,450,15,3,0.8,0.5,30,entropy,6,"{'rf__n_estimators': 450, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 3, 'rf__max_samples': 0.8, 'rf__max_features': 0.5, 'rf__max_depth': 30, 'rf__criterion': 'entropy', 'balance__k_neighbors': 6}",0.7990058246543132,0.8112132389698165,0.8021172797918872,0.7963346882158157,0.8129927873478631,0.8043327637959392,0.0066270779309493995,17,0.9088108451921613,0.9080428395556905,0.9087818995622969,0.9080422349043642,0.9110926484584811,0.9089540935345987,0.001121200962341639
407.1262978076935,18.977915990885183,3.3887328624725344,0.9137713405851037,350,5,2,0.8,0.5,30,entropy,5,"{'rf__n_estimators': 350, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 2, 'rf__max_samples': 0.8, 'rf__max_features': 0.5, 'rf__max_depth': 30, 'rf__criterion': 'entropy', 'balance__k_neighbors': 5}",0.8144229334898786,0.8235319657357068,0.8097057911161515,0.8088028238822681,0.8255963685188399,0.816411976548569,0.006955224245571127,2,0.9780710413019621,0.9787036078055379,0.9789746008455774,0.9784216805558182,0.9791261824755141,0.978659422596882,0.0003799653330808208
438.6702817440033,11.429868245143865,2.7808767795562743,0.7531471012302849,350,5,3,0.8,0.6,25,entropy,4,"{'rf__n_estimators': 350, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 3, 'rf__max_samples': 0.8, 'rf__max_features': 0.6, 'rf__max_depth': 25, 'rf__criterion': 'entropy', 'balance__k_neighbors': 4}",0.807542392249862,0.8209658242257788,0.8112011871948938,0.805713449911616,0.8214664174731844,0.8133778542110669,0.0066413211555360055,7,0.9576438507605517,0.9567742124549562,0.9571745417023427,0.9580344641766204,0.9590992465739211,0.9577452631336785,0.0007994817373706628
304.6886255264282,11.65713121879627,2.3220749855041505,1.206585995761516,250,5,2,0.7,0.6,30,entropy,4,"{'rf__n_estimators': 250, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 2, 'rf__max_samples': 0.7, 'rf__max_features': 0.6, 'rf__max_depth': 30, 'rf__criterion': 'entropy', 'balance__k_neighbors': 4}",0.8119948828657009,0.8222320451495068,0.8104931469277854,0.8085831559104502,0.8233863729043508,0.815337920751559,0.006206144004752746,4,0.9714743364910393,0.9712735152463918,0.9711026207184961,0.9712434394701375,0.9716010446483044,0.9713389913148738,0.00017679287071695955
382.0249440193176,25.70792879054952,6.049816417694092,4.344863312803305,450,10,2,0.7,0.4,25,entropy,6,"{'rf__n_estimators': 450, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 2, 'rf__max_samples': 0.7, 'rf__max_features': 0.4, 'rf__max_depth': 25, 'rf__criterion': 'entropy', 'balance__k_neighbors': 6}",0.8055231217578915,0.8192009376917561,0.8061821139274038,0.8031743236405103,0.817985723789617,0.8104132441614358,0.0067643733751074474,10,0.932105789575662,0.9337071380368626,0.9340814761475755,0.9325154717666978,0.9341165359840635,0.9333052823021722,0.0008348270403412802
424.142583322525,14.085740592804777,1.283674430847168,0.5859301959710641,350,10,2,0.7,0.6,,entropy,4,"{'rf__n_estimators': 350, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 2, 'rf__max_samples': 0.7, 'rf__max_features': 0.6, 'rf__max_depth': None, 'rf__criterion': 'entropy', 'balance__k_neighbors': 4}",0.8062497669509673,0.817225561920245,0.8060021418441639,0.8054375752291412,0.8177967842885381,0.8105423660466112,0.005698958206702257,9,0.9379811129609247,0.9381313948182619,0.9383574952464644,0.939512666056138,0.9408333947406262,0.938963212764483,0.0010791491440056734
427.56815786361693,21.43511218113178,5.605435037612915,3.0341852950542982,450,5,2,0.8,0.4,,entropy,6,"{'rf__n_estimators': 450, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 2, 'rf__max_samples': 0.8, 'rf__max_features': 0.4, 'rf__max_depth': None, 'rf__criterion': 'entropy', 'balance__k_neighbors': 6}",0.8111987110842355,0.8248901627658227,0.8123737424679204,0.8088456395043027,0.825476321090265,0.8165569153825093,0.0071368322768052715,1,0.9766312446103164,0.9776980016096387,0.9770718897205611,0.9774577220295457,0.9773281234509223,0.9772373962841968,0.00036434719513826297
571.8495756149292,24.556586908032884,5.323045492172241,4.012332910911199,450,15,2,0.8,0.6,25,entropy,4,"{'rf__n_estimators': 450, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 2, 'rf__max_samples': 0.8, 'rf__max_features': 0.6, 'rf__max_depth': 25, 'rf__criterion': 'entropy', 'balance__k_neighbors': 4}",0.8027549090062838,0.8116784890329316,0.8017855563257466,0.7987291795809138,0.8128704498820616,0.8055637167655874,0.0056507271139818955,14,0.9187974724496035,0.9182474427203545,0.9187717120603912,0.9197658621099157,0.9205658778127749,0.919229673430608,0.0008287634069500009
